task	split	model_id	display_name	family	input_mode	train_mode	eval_mode	selected_variant	n	accuracy	macro_f1	brier	ece	mce	mean_confidence	mean_entropy	high_conf_wrong_rate	f1_yes	f1_no	f1_maybe	pred_frac_yes	pred_frac_no	pred_frac_maybe
pubmedqa	val	allenai/scibert_scivocab_uncased	SciBERT	scientific	context_only	context_only	context_only	frozen_allenai_scibert_scivocab_uncased_context_only_zscore_lr_c0.1_cwnone_selected_on_inner_train	150	0.5	0.3488687782805429	0.7300971873727992	0.29203614334265393	0.3885827362537384	0.7920361433426539	0.4954975169822643	0.22	0.6235294117647058	0.4230769230769231	0.0	0.58	0.35333333333333333	0.06666666666666667
pubmedqa	val	allenai/scibert_scivocab_uncased	SciBERT	scientific	question_shuffled_context_eval	question_context	question_shuffled_context	frozen_allenai_scibert_scivocab_uncased_question_context_zscore_lr_c10.0_cwnone_selected_on_inner_train	150	0.47333333333333333	0.3226010101010101	0.918603710422914	0.41719688057899484	0.515633000462663	0.8890417810281118	0.27236867146908744	0.3933333333333333	0.6136363636363636	0.3541666666666667	0.0	0.62	0.3	0.08
pubmedqa	val	dmis-lab/biobert-v1.1	BioBERT	biomedical	question_context	question_context	question_context	frozen_dmis-lab_biobert-v1.1_question_context_zscore_lr_c0.01_cwnone_selected_on_inner_train	150	0.56	0.38278608050616336	0.5860753324482706	0.12455686648686723	0.40810933938393223	0.6615466062227885	0.7466676813905716	0.1	0.6629213483146067	0.4854368932038835	0.0	0.6333333333333333	0.3466666666666667	0.02
pubmedqa	val	dmis-lab/biobert-v1.1	BioBERT	biomedical	question_only	question_only	question_only	frozen_dmis-lab_biobert-v1.1_question_only_zscore_lr_c0.1_cwbalanced_selected_on_inner_train	150	0.4666666666666667	0.4022816679779701	0.817801907213726	0.31456943333148957	0.4903661946455638	0.7812360999981562	0.5117369929279084	0.28	0.5487804878048781	0.39999999999999997	0.2580645161290323	0.54	0.36	0.1
pubmedqa	val	dmis-lab/biobert-v1.1	BioBERT	biomedical	context_only	context_only	context_only	frozen_dmis-lab_biobert-v1.1_context_only_zscore_lr_c0.1_cwnone_selected_on_inner_train	150	0.5	0.39354246765699413	0.7010726337832758	0.30168853660424544	0.40760808520846903	0.8016885366042455	0.4798722145597333	0.22	0.591715976331361	0.45098039215686275	0.13793103448275862	0.5733333333333334	0.34	0.08666666666666667
pubmedqa	val	dmis-lab/biobert-v1.1	BioBERT	biomedical	question_shuffled_context_eval	question_context	question_shuffled_context	frozen_dmis-lab_biobert-v1.1_question_context_zscore_lr_c0.01_cwnone_selected_on_inner_train	150	0.52	0.30553481038917935	0.6953503418761352	0.21021912296613054	0.632409904314124	0.7033460450172424	0.6914245743448737	0.18666666666666668	0.6601941747572816	0.2564102564102564	0.0	0.82	0.18	0.0
pubmedqa	val	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	BiomedBERT	biomedical	question_context	question_context	question_context	frozen_microsoft_BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext_question_context_zscore_lr_c0.1_cwbalanced_selected_on_inner_train	150	0.5266666666666666	0.4351482412203475	0.7033580924714422	0.2575326728820801	0.38621878853211045	0.7813208945592245	0.515249275247042	0.21333333333333335	0.6064516129032258	0.5225225225225224	0.17647058823529413	0.48	0.4	0.12
pubmedqa	val	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	BiomedBERT	biomedical	question_only	question_only	question_only	frozen_microsoft_BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext_question_only_zscore_lr_c0.1_cwnone_selected_on_inner_train	150	0.5333333333333333	0.44408089362217806	0.7487385126891857	0.30751604557037354	0.3710679574446245	0.7950831115245819	0.49081105385308593	0.24666666666666667	0.6060606060606061	0.4954128440366972	0.23076923076923075	0.5466666666666666	0.38666666666666666	0.06666666666666667
pubmedqa	val	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	BiomedBERT	biomedical	context_only	context_only	context_only	frozen_microsoft_BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext_context_only_zscore_lr_c10.0_cwnone_selected_on_inner_train	150	0.4866666666666667	0.38740206618501816	0.8246431625603138	0.3805923088391622	0.43138227685467223	0.8672589755058289	0.30640267871153254	0.3333333333333333	0.5822784810126582	0.45871559633027525	0.12121212121212122	0.5	0.38666666666666666	0.11333333333333333
pubmedqa	val	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	BiomedBERT	biomedical	question_shuffled_context_eval	question_context	question_shuffled_context	frozen_microsoft_BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext_question_context_zscore_lr_c0.1_cwbalanced_selected_on_inner_train	150	0.3933333333333333	0.2965585251299537	0.928835407438011	0.3796507893006007	0.5957882088057849	0.772984122633934	0.5193557975352336	0.30666666666666664	0.509090909090909	0.32653061224489793	0.05405405405405405	0.5466666666666666	0.31333333333333335	0.14
pubmedqa	val	michiyasunaga/BioLinkBERT-base	BioLinkBERT	biomedical-link	question_context	question_context	question_context	frozen_michiyasunaga_BioLinkBERT-base_question_context_zscore_lr_c0.01_cwnone_selected_on_inner_train	150	0.5466666666666666	0.36912641540397134	0.617557102693454	0.14245930314064023	0.28776535511016843	0.6791787739594778	0.7229812146998669	0.10666666666666667	0.6519337016574586	0.45544554455445546	0.0	0.6533333333333333	0.3333333333333333	0.013333333333333334
pubmedqa	val	michiyasunaga/BioLinkBERT-base	BioLinkBERT	biomedical-link	question_only	question_only	question_only	frozen_michiyasunaga_BioLinkBERT-base_question_only_zscore_lr_c0.01_cwnone_selected_on_inner_train	150	0.4866666666666667	0.31961862852951967	0.6561446447895486	0.1850729443629583	0.38811128586530685	0.671739611029625	0.7313655874509214	0.10666666666666667	0.6222222222222222	0.33663366336633666	0.0	0.6466666666666666	0.3333333333333333	0.02
pubmedqa	val	michiyasunaga/BioLinkBERT-base	BioLinkBERT	biomedical-link	context_only	context_only	context_only	frozen_michiyasunaga_BioLinkBERT-base_context_only_zscore_lr_c0.1_cwnone_selected_on_inner_train	150	0.5	0.34995331465919705	0.7546097243439285	0.30103067179520926	0.44833262264728546	0.8010306717952093	0.4645063984658744	0.24	0.611764705882353	0.43809523809523804	0.0	0.58	0.36	0.06
pubmedqa	val	michiyasunaga/BioLinkBERT-base	BioLinkBERT	biomedical-link	question_shuffled_context_eval	question_context	question_shuffled_context	frozen_michiyasunaga_BioLinkBERT-base_question_context_zscore_lr_c0.01_cwnone_selected_on_inner_train	150	0.4666666666666667	0.3064116575591985	0.6814400553855691	0.22219229380289715	0.4660607120570015	0.6888589604695639	0.7077682788460263	0.13333333333333333	0.5792349726775956	0.33999999999999997	0.0	0.6666666666666666	0.32666666666666666	0.006666666666666667
pubmedqa	val	emilyalsentzer/Bio_ClinicalBERT	BioClinicalBERT	clinical	question_context	question_context	question_context	frozen_emilyalsentzer_Bio_ClinicalBERT_question_context_zscore_lr_c0.01_cwnone_selected_on_inner_train	150	0.46	0.30888888888888894	0.7174502411651609	0.22981902539730073	0.4332946561000966	0.6669398047526678	0.7427882485058303	0.13333333333333333	0.5666666666666667	0.36000000000000004	0.0	0.6466666666666666	0.32666666666666666	0.02666666666666667
pubmedqa	val	emilyalsentzer/Bio_ClinicalBERT	BioClinicalBERT	clinical	question_only	question_only	question_only	frozen_emilyalsentzer_Bio_ClinicalBERT_question_only_zscore_lr_c1.0_cwbalanced_selected_on_inner_train	150	0.43333333333333335	0.36212140337930493	0.9247349968830331	0.4057725566625595	0.5036379533845026	0.8391058899958929	0.3828046073421287	0.3466666666666667	0.5590062111801242	0.3168316831683168	0.2105263157894737	0.52	0.3333333333333333	0.14666666666666667
pubmedqa	val	emilyalsentzer/Bio_ClinicalBERT	BioClinicalBERT	clinical	context_only	context_only	context_only	frozen_emilyalsentzer_Bio_ClinicalBERT_context_only_zscore_lr_c1.0_cwnone_selected_on_inner_train	150	0.3933333333333333	0.2955741755290579	0.974753429621156	0.46262540221214293	0.5444599020070042	0.8559587355454763	0.3425556316654799	0.41333333333333333	0.5	0.3177570093457944	0.06896551724137931	0.54	0.37333333333333335	0.08666666666666667
pubmedqa	val	emilyalsentzer/Bio_ClinicalBERT	BioClinicalBERT	clinical	question_shuffled_context_eval	question_context	question_shuffled_context	frozen_emilyalsentzer_Bio_ClinicalBERT_question_context_zscore_lr_c0.01_cwnone_selected_on_inner_train	150	0.4866666666666667	0.3297913480637733	0.6714249966206118	0.19741892794768018	0.39303190012772876	0.6813073156277338	0.7223631712986643	0.10666666666666667	0.6224489795918368	0.2558139534883721	0.1111111111111111	0.7533333333333333	0.23333333333333334	0.013333333333333334
