config_name	seed	split	prompt_mode	n_examples	accuracy	macro_f1	brier	f1_yes	f1_no	f1_maybe	prediction_file
random_primary_best_7147e14	44	val	question_shuffled	150	0.553333	0.237482	0.570543	0.712446	0.0	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed44_question_shuffled.tsv
random_primary_best_7147e14	45	val	question_context	150	0.553333	0.237482	0.568969	0.712446	0.0	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed45_question_context.tsv
random_primary_best_7147e14	45	val	question_only	150	0.506667	0.33602	0.592791	0.612022	0.39604	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed45_question_only.tsv
random_primary_best_7147e14	45	val	context_removed	150	0.533333	0.294081	0.587353	0.682243	0.2	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed45_context_removed.tsv
random_primary_best_7147e14	45	val	context_only	150	0.553333	0.237482	0.568202	0.712446	0.0	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed45_context_only.tsv
random_primary_best_7147e14	45	val	shuffled_context	150	0.553333	0.237482	0.57244	0.712446	0.0	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed45_shuffled_context.tsv
random_primary_best_7147e14	45	val	question_shuffled	150	0.553333	0.237482	0.567844	0.712446	0.0	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed45_question_shuffled.tsv
random_primary_best_7147e14	46	val	question_context	150	0.553333	0.237482	0.569931	0.712446	0.0	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed46_question_context.tsv
random_primary_best_7147e14	46	val	question_only	150	0.553333	0.237482	0.577871	0.712446	0.0	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed46_question_only.tsv
random_primary_best_7147e14	46	val	context_removed	150	0.553333	0.237482	0.57472	0.712446	0.0	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed46_context_removed.tsv
random_primary_best_7147e14	46	val	context_only	150	0.553333	0.237482	0.569365	0.712446	0.0	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed46_context_only.tsv
random_primary_best_7147e14	46	val	shuffled_context	150	0.553333	0.237482	0.571619	0.712446	0.0	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed46_shuffled_context.tsv
random_primary_best_7147e14	46	val	question_shuffled	150	0.553333	0.237482	0.571193	0.712446	0.0	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed46_question_shuffled.tsv
