phase	split	config_name	group	seed	train_code_commit	source_commit	lm_val_bpb	pubmedqa_acc	pubmedqa_macro_f1	pubmedqa_brier	memory_gb	params_M	tokens_M	status	predictions	description
repeated_val	val	random_accuracy_best_7e73835	random	45	84d5239	7e73835	2.321634	0.540000	0.265009	0.576807	0.2	16.7	9.8	ok	outputs/predictions/pubmedqa_repeated_val_val_random_accuracy_best_7e73835_seed45.tsv	Random-search validation accuracy best from the initial random sweep.
repeated_val	val	random_accuracy_best_7e73835	random	46	84d5239	7e73835	2.354411	0.553333	0.237482	0.558933	0.2	16.7	9.8	ok	outputs/predictions/pubmedqa_repeated_val_val_random_accuracy_best_7e73835_seed46.tsv	Random-search validation accuracy best from the initial random sweep.
repeated_val	val	random_macro_f1_best_8a1209b	random	42	84d5239	8a1209b	2.547499	0.493333	0.273398	0.639728	0.2	16.7	9.3	ok	outputs/predictions/pubmedqa_repeated_val_val_random_macro_f1_best_8a1209b_seed42.tsv	Random-search validation macro-F1 best configuration from the initial random sweep.
repeated_val	val	random_macro_f1_best_8a1209b	random	43	84d5239	8a1209b	2.487752	0.526667	0.329966	0.612497	0.2	16.7	9.3	ok	outputs/predictions/pubmedqa_repeated_val_val_random_macro_f1_best_8a1209b_seed43.tsv	Random-search validation macro-F1 best configuration from the initial random sweep.
repeated_val	val	random_macro_f1_best_8a1209b	random	44	84d5239	8a1209b	2.471484	0.486667	0.285443	0.625196	0.2	16.7	9.3	ok	outputs/predictions/pubmedqa_repeated_val_val_random_macro_f1_best_8a1209b_seed44.tsv	Random-search validation macro-F1 best configuration from the initial random sweep.
repeated_val	val	random_macro_f1_best_8a1209b	random	45	84d5239	8a1209b	2.460692	0.580000	0.341939	0.579655	0.2	16.7	9.3	ok	outputs/predictions/pubmedqa_repeated_val_val_random_macro_f1_best_8a1209b_seed45.tsv	Random-search validation macro-F1 best configuration from the initial random sweep.
repeated_val	val	random_macro_f1_best_8a1209b	random	46	84d5239	8a1209b	2.691817	0.540000	0.325284	0.656572	0.2	16.7	9.3	ok	outputs/predictions/pubmedqa_repeated_val_val_random_macro_f1_best_8a1209b_seed46.tsv	Random-search validation macro-F1 best configuration from the initial random sweep.
repeated_val	val	random_brier_best_8dc23be	random	42	84d5239	8dc23be	2.253348	0.533333	0.287428	0.571428	0.2	16.7	9.8	ok	outputs/predictions/pubmedqa_repeated_val_val_random_brier_best_8dc23be_seed42.tsv	Random phase2 Brier-score best configuration.
repeated_val	val	random_brier_best_8dc23be	random	43	84d5239	8dc23be	2.378877	0.560000	0.306250	0.570725	0.2	16.7	9.8	ok	outputs/predictions/pubmedqa_repeated_val_val_random_brier_best_8dc23be_seed43.tsv	Random phase2 Brier-score best configuration.
repeated_val	val	random_brier_best_8dc23be	random	44	84d5239	8dc23be	2.290826	0.560000	0.290818	0.569334	0.2	16.7	9.8	ok	outputs/predictions/pubmedqa_repeated_val_val_random_brier_best_8dc23be_seed44.tsv	Random phase2 Brier-score best configuration.
repeated_val	val	random_brier_best_8dc23be	random	45	84d5239	8dc23be	2.460974	0.560000	0.290818	0.562320	0.2	16.7	9.8	ok	outputs/predictions/pubmedqa_repeated_val_val_random_brier_best_8dc23be_seed45.tsv	Random phase2 Brier-score best configuration.
repeated_val	val	random_brier_best_8dc23be	random	46	84d5239	8dc23be	2.211597	0.560000	0.251326	0.568445	0.2	16.7	9.8	ok	outputs/predictions/pubmedqa_repeated_val_val_random_brier_best_8dc23be_seed46.tsv	Random phase2 Brier-score best configuration.
repeated_val	val	agent_aux_a20f5b7	agent	42	84d5239	a20f5b7	2.013211	0.553333	0.339356	0.621525	0.2	16.7	8.9	ok	outputs/predictions/pubmedqa_repeated_val_val_agent_aux_a20f5b7_seed42.tsv	Agent #002 delayed weak class-balanced answer-label auxiliary objective on the random phase2 primary-best backbone.
repeated_val	val	agent_aux_a20f5b7	agent	43	84d5239	a20f5b7	2.560600	0.526667	0.394621	0.654765	0.2	16.7	8.9	ok	outputs/predictions/pubmedqa_repeated_val_val_agent_aux_a20f5b7_seed43.tsv	Agent #002 delayed weak class-balanced answer-label auxiliary objective on the random phase2 primary-best backbone.
repeated_val	val	agent_aux_a20f5b7	agent	44	84d5239	a20f5b7	2.279401	0.500000	0.326583	0.621742	0.2	16.7	8.9	ok	outputs/predictions/pubmedqa_repeated_val_val_agent_aux_a20f5b7_seed44.tsv	Agent #002 delayed weak class-balanced answer-label auxiliary objective on the random phase2 primary-best backbone.
repeated_val	val	agent_aux_a20f5b7	agent	45	84d5239	a20f5b7	2.495041	0.480000	0.293758	0.665144	0.2	16.7	8.9	ok	outputs/predictions/pubmedqa_repeated_val_val_agent_aux_a20f5b7_seed45.tsv	Agent #002 delayed weak class-balanced answer-label auxiliary objective on the random phase2 primary-best backbone.
repeated_val	val	agent_aux_a20f5b7	agent	46	84d5239	a20f5b7	2.536552	0.420000	0.290984	0.702659	0.2	16.7	8.9	ok	outputs/predictions/pubmedqa_repeated_val_val_agent_aux_a20f5b7_seed46.tsv	Agent #002 delayed weak class-balanced answer-label auxiliary objective on the random phase2 primary-best backbone.
prospective_aux_weight_20260506	val	prospective_aux_weight_0p02_20260506	prospective	42	325e90f	random_primary_backbone_7147e14	1.930416	0.460000	0.317910	0.659266	0.2	16.7	7.0	ok	outputs/predictions/pubmedqa_prospective_aux_weight_20260506_val_prospective_aux_weight_0p02_20260506_seed42.tsv	Prospective hypothesis-first validation-only run: random primary backbone with weaker delayed class-balanced auxiliary objective (QA_AUX_WEIGHT=0.02).
prospective_aux_weight_20260506	val	prospective_aux_weight_0p02_20260506	prospective	43	325e90f	random_primary_backbone_7147e14	1.871063	0.453333	0.330870	0.643373	0.2	16.7	6.6	ok	outputs/predictions/pubmedqa_prospective_aux_weight_20260506_val_prospective_aux_weight_0p02_20260506_seed43.tsv	Prospective hypothesis-first validation-only run: random primary backbone with weaker delayed class-balanced auxiliary objective (QA_AUX_WEIGHT=0.02).
prospective_aux_weight_20260506	val	prospective_aux_weight_0p02_20260506	prospective	44	325e90f	random_primary_backbone_7147e14	1.893210	0.433333	0.306469	0.654987	0.2	16.7	6.6	ok	outputs/predictions/pubmedqa_prospective_aux_weight_20260506_val_prospective_aux_weight_0p02_20260506_seed44.tsv	Prospective hypothesis-first validation-only run: random primary backbone with weaker delayed class-balanced auxiliary objective (QA_AUX_WEIGHT=0.02).
prospective_aux_weight_20260506	val	prospective_aux_weight_0p02_20260506	prospective	45	325e90f	random_primary_backbone_7147e14	2.153586	0.453333	0.307144	0.611980	0.2	16.7	7.8	ok	outputs/predictions/pubmedqa_prospective_aux_weight_20260506_val_prospective_aux_weight_0p02_20260506_seed45.tsv	Prospective hypothesis-first validation-only run: random primary backbone with weaker delayed class-balanced auxiliary objective (QA_AUX_WEIGHT=0.02).
prospective_aux_weight_20260506	val	prospective_aux_weight_0p02_20260506	prospective	46	325e90f	random_primary_backbone_7147e14	2.160922	0.506667	0.338526	0.649067	0.2	16.7	7.7	ok	outputs/predictions/pubmedqa_prospective_aux_weight_20260506_val_prospective_aux_weight_0p02_20260506_seed46.tsv	Prospective hypothesis-first validation-only run: random primary backbone with weaker delayed class-balanced auxiliary objective (QA_AUX_WEIGHT=0.02).
prospective_aux_weight_20260506	val	prospective_aux_weight_0p10_20260506	prospective	42	325e90f	random_primary_backbone_7147e14	2.269356	0.440000	0.344280	0.664669	0.2	16.7	7.7	ok	outputs/predictions/pubmedqa_prospective_aux_weight_20260506_val_prospective_aux_weight_0p10_20260506_seed42.tsv	Prospective hypothesis-first validation-only run: random primary backbone with stronger delayed class-balanced auxiliary objective (QA_AUX_WEIGHT=0.10).
prospective_aux_weight_20260506	val	prospective_aux_weight_0p10_20260506	prospective	43	325e90f	random_primary_backbone_7147e14	2.078031	0.440000	0.278986	0.708382	0.2	16.7	7.7	ok	outputs/predictions/pubmedqa_prospective_aux_weight_20260506_val_prospective_aux_weight_0p10_20260506_seed43.tsv	Prospective hypothesis-first validation-only run: random primary backbone with stronger delayed class-balanced auxiliary objective (QA_AUX_WEIGHT=0.10).
prospective_aux_weight_20260506	val	prospective_aux_weight_0p10_20260506	prospective	44	325e90f	random_primary_backbone_7147e14	1.981203	0.493333	0.321992	0.654370	0.2	16.7	7.7	ok	outputs/predictions/pubmedqa_prospective_aux_weight_20260506_val_prospective_aux_weight_0p10_20260506_seed44.tsv	Prospective hypothesis-first validation-only run: random primary backbone with stronger delayed class-balanced auxiliary objective (QA_AUX_WEIGHT=0.10).
prospective_aux_weight_20260506	val	prospective_aux_weight_0p10_20260506	prospective	45	325e90f	random_primary_backbone_7147e14	2.596076	0.493333	0.351237	0.638298	0.2	16.7	7.9	ok	outputs/predictions/pubmedqa_prospective_aux_weight_20260506_val_prospective_aux_weight_0p10_20260506_seed45.tsv	Prospective hypothesis-first validation-only run: random primary backbone with stronger delayed class-balanced auxiliary objective (QA_AUX_WEIGHT=0.10).
prospective_aux_weight_20260506	val	prospective_aux_weight_0p10_20260506	prospective	46	325e90f	random_primary_backbone_7147e14	2.482058	0.453333	0.280349	0.669979	0.2	16.7	8.5	ok	outputs/predictions/pubmedqa_prospective_aux_weight_20260506_val_prospective_aux_weight_0p10_20260506_seed46.tsv	Prospective hypothesis-first validation-only run: random primary backbone with stronger delayed class-balanced auxiliary objective (QA_AUX_WEIGHT=0.10).
same_trained_context_ablation_smoke	val	random_primary_best_7147e14	random	42	325e90f	7147e14	3.175851	0.000000	0.000000	0.672962	0.2	16.7	0.8	ok	outputs/predictions/pubmedqa_same_trained_context_ablation_smoke_val_random_primary_best_7147e14_seed42.tsv	Random phase2 primary-metric best validation-BPB configuration.
same_trained_context_ablation_20260508	val	random_primary_best_7147e14	random	42	325e90f	7147e14	1.959329	0.540000	0.245823	0.579123	0.2	16.7	7.7	ok	outputs/predictions/pubmedqa_same_trained_context_ablation_20260508_val_random_primary_best_7147e14_seed42.tsv	Random phase2 primary-metric best validation-BPB configuration.
same_trained_context_ablation_20260508	val	random_primary_best_7147e14	random	43	325e90f	7147e14	1.937905	0.553333	0.237482	0.567339	0.2	16.7	7.7	ok	outputs/predictions/pubmedqa_same_trained_context_ablation_20260508_val_random_primary_best_7147e14_seed43.tsv	Random phase2 primary-metric best validation-BPB configuration.
same_trained_context_ablation_20260508	val	random_primary_best_7147e14	random	44	325e90f	7147e14	1.868453	0.553333	0.237482	0.570752	0.2	16.7	7.6	ok	outputs/predictions/pubmedqa_same_trained_context_ablation_20260508_val_random_primary_best_7147e14_seed44.tsv	Random phase2 primary-metric best validation-BPB configuration.
same_trained_context_ablation_20260508	val	random_primary_best_7147e14	random	45	325e90f	7147e14	1.926378	0.553333	0.237482	0.568969	0.2	16.7	7.3	ok	outputs/predictions/pubmedqa_same_trained_context_ablation_20260508_val_random_primary_best_7147e14_seed45.tsv	Random phase2 primary-metric best validation-BPB configuration.
same_trained_context_ablation_20260508	val	random_primary_best_7147e14	random	46	325e90f	7147e14	1.994258	0.553333	0.237482	0.569931	0.2	16.7	8.1	ok	outputs/predictions/pubmedqa_same_trained_context_ablation_20260508_val_random_primary_best_7147e14_seed46.tsv	Random phase2 primary-metric best validation-BPB configuration.
same_trained_context_ablation_20260508	val	agent_aux_a20f5b7	agent	42	325e90f	a20f5b7	2.035977	0.420000	0.286680	0.680700	0.2	16.7	7.6	ok	outputs/predictions/pubmedqa_same_trained_context_ablation_20260508_val_agent_aux_a20f5b7_seed42.tsv	Agent #002 delayed weak class-balanced answer-label auxiliary objective on the random phase2 primary-best backbone.
same_trained_context_ablation_20260508	val	agent_aux_a20f5b7	agent	43	325e90f	a20f5b7	2.104934	0.446667	0.340738	0.690715	0.2	16.7	7.7	ok	outputs/predictions/pubmedqa_same_trained_context_ablation_20260508_val_agent_aux_a20f5b7_seed43.tsv	Agent #002 delayed weak class-balanced answer-label auxiliary objective on the random phase2 primary-best backbone.
same_trained_context_ablation_20260508	val	agent_aux_a20f5b7	agent	44	325e90f	a20f5b7	2.014249	0.460000	0.314583	0.672055	0.2	16.7	7.4	ok	outputs/predictions/pubmedqa_same_trained_context_ablation_20260508_val_agent_aux_a20f5b7_seed44.tsv	Agent #002 delayed weak class-balanced answer-label auxiliary objective on the random phase2 primary-best backbone.
same_trained_context_ablation_20260508	val	agent_aux_a20f5b7	agent	45	325e90f	a20f5b7	2.084881	0.506667	0.338299	0.638675	0.2	16.7	7.5	ok	outputs/predictions/pubmedqa_same_trained_context_ablation_20260508_val_agent_aux_a20f5b7_seed45.tsv	Agent #002 delayed weak class-balanced answer-label auxiliary objective on the random phase2 primary-best backbone.
same_trained_context_ablation_20260508	val	agent_aux_a20f5b7	agent	46	325e90f	a20f5b7	1.961830	0.493333	0.324489	0.669368	0.2	16.7	7.9	ok	outputs/predictions/pubmedqa_same_trained_context_ablation_20260508_val_agent_aux_a20f5b7_seed46.tsv	Agent #002 delayed weak class-balanced answer-label auxiliary objective on the random phase2 primary-best backbone.
